                   |                  |         |                         |
AliceMC10:          Tandy MC-10
arcade_NeoGeo:      SNK NeoGeo MVS
Alpha68k:           SNK Alpha 68000










                   |                  |         |                         |
Arkanoid:           Taito - Arkanoid
armedf:             Nichibutsu - Formation Armed F
Asteroids:          Atari - Asteroids
AsteroidsDeluxe:    Atari - Asteroids Deluxe
AtariTetris:        Atari - Tetris
Athena:             SNK - Athena
Bagman:             Valadon Aut. - Bagman
bakraid:            Raizing - Battle Bakraid
bankpanic:          SEGA Bank Panic
batrider:           Raizing - Armed Police Batrider
                   |                  |         |                         |
Berzerk:            Stern Elect. - Berzerk
BlackWidow:         Atari - Black Widow
blockade:           SEGA Blockade
BombJack:           Tehkan - Bomb Jack
bosconian:          Namco - Bosconian
Breakout:           breakout:18_Common_EU
BurgerTime:         Data East - Hamburger
BurningRubber:      Data East - Burnin' Rubber
CanyonBomber:       Atari - Canyon Bomber
Centipede:          Atari - Centipede
                   |                  |         |                         |
Chameleon:          Jaleco - Chameleon
ComputerSpace:      Syzygy Engr. Computer Space
CongoBongo:         SEGA Tip Top
CosmicAvenger:      Universal - Cosmic Avenger
CrazyBalloon:       Taito - Crazy Balloon
CrazyClimber:       Nichibutsu - Crazy Climber
CrazyKong:          Falcon - Crazy Kong
CrystalCastles:     Atari - Crystal Castles
Defender:           Williams, Inc. Defender
DigDug:             Namco - Dig Dug
                   |                  |         |                         |
Dominos:            Atari - Dominos
DonkeyKong:         Nintendo - Donkey Kong
DonkeyKong3:        Nintendo - Donkey Kong 3
DonkeyKongJunior:   Nintendo - Donkey Kong Jr.
Dorodon:            UPL Co. - Dorodon
DottoriKun:         SEGA - Dottori-kun
Druaga:             Namco - The Tower of Druaga
Exerion:            Jaleco - Exerion
expressraider:      Data East - Express Raider
Finalizer:          Konami - Finalizer: Super Transformation
                   |                  |         |                         |
FoodFight:          GCC - Charley Chuck's Food Fight
Frenzy:             Stern Elect. - Frenzy
Galaga:             Namco - Galaga
Galaxian:           Namco - Galaxian
Galivan:            Nichibutsu - Cosmo Police Galivan
Gaplus:             Namco - Gaplus
Garegga:            Toaplan Version 2
Gauntlet:           Atari - Gauntlet
GnG:                Capcom - Makaimura -old-
Gyruss:             Konami - Gyruss
                   |                  |         |                         |
IkariWarriors:      SNK - Ikari
Inferno:            Inferno:18_Coomon_EU
IremM62:            Irem M62
IremM72:            Irem M72
IronHorse:          Konami - Dai Ressha Goutou
Jackal:             Konami - Jackal
Jailbreak:          jailbreak:18_Common_JP
Joust2:             Williams Elect. - Joust 2: Survival of the Fittest
jt1942:             Capcom - 1942
jt1943:             Capcom - 1943: Middouei Kaisen
                   |                  |         |                         |
jtbiocom:           Capcom - Top Secret
jtbtiger:           Capcom - Black Dragon
jtbubl:             Taito - Bubble Bobble
jtcommnd:           Capcom - Senjou no Ookami
jtcomsc:            Konami - Combat School
jtcontra:           Konami - Contra
jtcop:              Data East - RoboCop
jtcps1:             Capcom CP System
jtcps15:            Capcom CP System Dash
jtcps2:             Capcom CP System II
                   |                  |         |                         |
jtdd:               Technos - Double Dragon
jtdd2:              Technos - Double Dragon II: The Revenge
jtexed:             Capcom - Exed Exes
jtf1drm:            Capcom - F-1 Dream
jtflane:            Capcom - Fast Lane
jtgng:              Capcom - Makaimura
jtgunsmk:           Capcom - Gun.Smoke
jthige:             Capcom - Pirate Ship Higemaru
jtkarnov:           Data East Karnov
jtkchamp:           Data East - Karate Dou
                   |                  |         |                         |
jtkicker:           Konami - Shao-Lin's Road
jtkiwi:             Taito - The NewZealand Story
jtkunio:            Technos - Nekketsu Kouha Kunio-kun
jtlabrun:           Konami - Labyrinth Runner
jtmidres:           Data East - Midnight Resistance
jtmikie:            Konami - Shinnyuu Shain Tooru-kun
jtmx5k:             Konami - Flak Attack
jtninja:            Data East - DragonNinja
jtoutrun:           SEGA Out Run
jtpang:             Mitchell Buster Bros.
                   |                  |         |                         |
jtpinpon:           Konami - Konami no Ping Pong
jttrack:            Konami - Hyper Olympic
jtrastan:           Taito - Rastan Saga
jtroc:              Konami - Roc'n Rope
jtroadf:            Konami Road Fighter
jtrumble:           Capcom - The Speed Rumbler
jts16:              SEGA System 16
jts16a2:            SEGA System 16A2
jts16b1:            SEGA System 16B1
jts16b2:            SEGA System 16B2
                   |                  |         |                         |
jts16b3:            SEGA System 16B3
jts16b:             SEGA System 16B
jtsarms:            Capcom - Hyper Dyne Side Arms
jtsbask1:           Konami - Super Basketball -version I-
jtsbaskt:           Konami - Super Basketball -version H-
jtshanon:           SEGA - Super Hang-On
jtslyspy:           Data East - Secret Agent
jtsf:               Capcom - Street Fighter
jtsectnz:           Capcom - Section Z
jttora:             Capcom - Tora e no Michi
                   |                  |         |                         |
jttrojan:           Capcom - Tatakai no Banka
jtvigil:            Irem - Vigilante
jtvulgus:           Capcom - Vulgus
jtyiear:            Konami - Yie Ar Kung-Fu
LadyBug:            Universal - Lady Bug
LunarLander:        Atari - Lunar Lander
MarioBros:          Nintendo - Mario Brothers
MCR1:               Bally Midway MCR-1
MCR2:               Bally Midway MCR-2
MCR3:               Bally Midway MCR-3
                   |                  |         |                         |
MCR3Mono:           Bally Midway MCR-3 Monoboard
MCR3Scroll:         Bally Midway MCR-3 Scroll
MissileCommand:     Atari - Missile Command
MoonPatrol:         Irem - Moon Patrol
MrDo:               Universal - Mr. Do!
MysticMarathon:     Williams Elect. - Mystic Marathon
nemesis:            Konami - Gradius
NinjaKun:           UPL - Ninja-kun: Majou no Bouken
Pacman:             Namco - Puck Man
Pengo:              Coreland - Pengo
                   |                  |         |                         |
PenguinKunWars:     UPL - Penguin-Kun Wars
Phoenix:            Centuri - Phoenix
pipibibs:           Toaplan - Whoopee!!
Pleiads:            Centuri - Pleiades
PolyPlay:           VEB Polytechnik - Poly-Play
Pong:               Atari - Pong
Pooyan:             Stern Elect. - Pooyan
Popeye:             Nintendo - Popeye
prehisle:           SNK Genshi-Tou 1930's
QBert:              Gottlieb - Q'Bert
                   |                  |         |                         |
RallyX:             Namco - Rally-X
RiverPatrol:        Orca - River Patrol
Robotron:           Vid Kidz - Robotron: 1984
RshnAtk:            Konami - Green Beret
ScooterShooter:     Konami - Scooter Shooter
Scramble:           Konami - Scramble
SEGASYS1:           SEGA System 1
SilverLand:         Falcon - Silver Land
SlapFight:          Toaplan - Slap Fight
SnapJack:           Universal - Snap Jack
                   |                  |         |                         |
SNK68:              SNK 68000
SNK_TripleZ80:      SNK Triple Z80
snowbro2:           Toaplan - Snow Bros 2: Otenki Paradise
SolomonsKey:        Tecmo - Solomon no Kagi
Sonson:             Capcom - SonSon
SpaceInvaders:      Taito - Space Invaders
SpaceRace:          Atari - Space Race
Sprint1:            Atari - Sprint 1
Sprint2:            Atari - Sprint 2
Subs:               Atari - Subs
                   |                  |         |                         |
SuperBreakout:      Atari - Super Breakout
TankBattalion:      Namco - Tank Battalion
Tecmo:              Tecmo 1st Gen
terracresta:        Nichibutsu - Terra Cresta
TIAMC1:             Ekstrema-Ukraina TIA-MC-1
TimePilot:          Konami - Time Pilot
TimePilot84:        Konami - Time Pilot '84: Further Into Unknown World
TNKIII:             SNK - T·A·N·K
toaplan1:           Toaplan Version 1
TraverseUSA:        Irem - Zippy Race
                   |                  |         |                         |
TropicalAngel:      Irem - Tropical Angel
truxton2:           Toaplan - Tatsujin Ou
TurkeyShoot:        Williams Elect. - Turkey Shoot
Ultratank:          Kee Games - Ultra Tank
VBall:              Technos - U.S. Championship V'Ball
Xevious:            Namco - Xevious
XSleenaCore:        Technos - Xain'd Sleena
Zaxxon:             zaxxon:18_Common_EU
ZigZag:             LAX - Zig Zag
